wallet,type,amount,usd_value,from,to,timestamp,date,signature,token_address,token_symbol
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,TOKEN,1556042784212.185,1556042784212.185,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,GZJhTLSHcmpEDzG5waLgpRTV4oRnywT2G5wQxqxujMo1,2025-08-06 03:49:08,2025-08-06,21hpLPy9qfe7jPTi1d9R6oFWggDTvCruN1FmCNoCs6Brv3fYUHKHVrGQhPLDiC7EHs9x1eSQ946qNAzLxARUGcUx,7hWcHohzwtLddDUG81H2PkWq6KEkMtSDNkYXsso18Fy3,TOKEN-7hWcHohz...
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,TOKEN,4000000000.0,4000000000.0,DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-08-04 16:43:42,2025-08-04,3J1q8b6N8wRNof7zVByrB3oX2w2EcEKw3W56ZfMeGwVi9bhKZWeAkmBiQP1VbKZT2QsAG8Lg3bkuS7MGoTDiE1Bo,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,TOKEN-DezXAZ8z...
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,766764646.0,766764646.0,1363gx61PRGQTVo58twTqPYqbbPGR6rsVm5bvpTbpg47,HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,2025-07-25 16:55:35,2025-07-25,4kQhN4wTvjKaHsJ1ziJ6CFk4N1MGS1mrUKcKzfLaepVf6uXDuQjUNnmP2NpAu8WoCmYDNDMFUQJ5iJuXfsjR1RLY,3fppUjXzDXpBcDrLecYFuAAj3CkbFMNoLmTmjDYgkkW7,TOKEN-3fppUjXz...
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,43222222.0,43222222.0,5uNBzQAv3KNrGkA966PDeNNH4GqkPfoGVXuaNf4vN52s,HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,2025-07-29 17:07:00,2025-07-29,5ah1hXVcDZX3hivNQYQdPP1FTDS2Xf2owVZStTAvTqpWjCaBDACBCRWraLYMNqWcPZGSTuBs4RpEp6Yb22kUHe13,4TQtmowSfW3ozmgT1eY9Pa3jqPVt6UPMvtTH4pRbvWPL,TOKEN-4TQtmowS...
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,29130100.0,29130100.0,HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-08-04 16:45:43,2025-08-04,4M2qRr5GMToCCzrphR73PPqoseZh6iEX5Um2LZYcrxZ82rBSb3myY4V4AaBS8KcLtXeXd5j1aBRDY4GS6oaotKJj,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,TOKEN-pumpCmXq...
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,TOKEN,15800085.23,15800085.23,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,HZTVRJHQK7RxuaRB2d3Q8SP1PEtFbt6grHte6BzESwYp,2025-08-06 03:56:11,2025-08-06,g7zbXJBDkkEBGg2enfW2pXpss1cSGJkm6ovkDVaV8juGrVFRrrMtK2aM3XotTzeUWMhJLrCBcpqjG1AeUjzHifU,5MAYDfq5yxtudAhtfyuMBuHZjgAbaS9tbEyEQYAhDS5y,TOKEN-5MAYDfq5...
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,TOKEN,15000000.0,15000000.0,DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-08-05 14:09:20,2025-08-05,64FX8aaM3WuDWZea84a8sk13ZQYVGA8BaMgDoRcxH5c5ts8mQT7EFovgp1zpXZrgyhvmcVgPpDqU8Mho3fzAqV9Y,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,TOKEN-2zMMhcVQ...
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,TOKEN,10080000.0,10080000.0,DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-08-05 14:09:20,2025-08-05,7QdDrSuXB2WKatK2uFrPh1hEYB4cTB7ZR2VZvLVnJxHzkLyrgMH99afq5hb6AetoggjhDhRr3xAXmVshokxHfBR,HKJHsYJHMVK5VRyHHk5GhvzY9tBAAtPvDkZfDH6RLDTd,TOKEN-HKJHsYJH...
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,TOKEN,10000000.0,10000000.0,DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-08-05 15:43:56,2025-08-05,4hVTvL1hTni7LTrZe8PNQfC3d9XTTAAnJuMRokXiYLWxbYT7EGMzsPS2oM9CaWFk9jjNVhTvbU1xoEdCm3TaicT1,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,TOKEN-2zMMhcVQ...
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,TOKEN,10000000.0,10000000.0,DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-08-03 17:42:02,2025-08-03,bgC5Y5N4HK92yLwMEEdYUwVaxjrqNzTWPHnQdzt3qVH2d6cAjbBE6Yo4hKqUZU5za5Ec9d2FLdSbfAsRLWkJnx5,CNvitvFnSM5ed6K28RUNSaAjqqz5tX1rA5HgaBN9pump,TOKEN-CNvitvFn...
